observations,total_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,mean_daily_net_return,positive_net_day_fraction,average_absolute_position,average_daily_turnover,total_turnover,position_changes,asset,method,policy,strategy,cost_bps
304,0.48310122459333527,0.6051571755961225,0.4471139651740067,1.2812387228872573,-0.2870754513384949,0.0015694787006153479,0.5032894736842105,0.9572368421052632,0.009868421052631578,3.0,2,BTC,phase2_general_lstm,cost_aware,phase2_general_lstm__cost_aware,10
304,0.48310122459333527,0.6051571755961225,0.4471139651740067,1.2812387228872573,-0.2870754513384949,0.0015694787006153479,0.5032894736842105,0.9572368421052632,0.009868421052631578,3.0,2,BTC,phase2_lstm,cost_aware,phase2_lstm__cost_aware,10
304,0.33324669940897866,0.4124555798497511,0.4531531352471722,0.9846167168424583,-0.2630305303464371,0.001222416855490239,0.4901315789473684,1.0,0.8256578947368421,251.0,126,BTC,phase5_reliability_fusion_xgb,cost_aware,phase5_reliability_fusion_xgb__cost_aware,10
304,0.3065478922807017,0.37856357328972035,0.4533865045557185,0.930495345718453,-0.2535734309267105,0.0011558192665771351,0.48026315789473684,1.0,1.0625,323.0,162,BTC,phase5_reliability_fusion_xgb,daily_sign,phase5_reliability_fusion_xgb__daily_sign,10
304,0.18507420908934957,0.22614878677454842,0.457634435561548,0.6730676111190559,-0.4218704288194688,0.0008438874419430921,0.5230263157894737,1.0,0.05592105263157895,17.0,9,BTC,phase2_general_lstm,daily_sign,phase2_general_lstm__daily_sign,10
304,0.18507420908934957,0.22614878677454842,0.457634435561548,0.6730676111190559,-0.4218704288194688,0.0008438874419430921,0.5230263157894737,1.0,0.05592105263157895,17.0,9,BTC,phase2_lstm,daily_sign,phase2_lstm__daily_sign,10
304,0.11727836218958787,0.14241882480383428,0.4566651472996526,0.5206559882412695,-0.2728074056440014,0.0006514121741442344,0.506578947368421,1.0,0.41118421052631576,125.0,63,BTC,phase1_xgb,cost_aware,phase1_xgb__cost_aware,10
304,-0.05368358781170324,-0.06410337502489982,0.45741024385994355,0.08467457251704323,-0.3214899000127567,0.00010611237496919787,0.48355263157894735,1.0,0.5032894736842105,153.0,77,BTC,phase1_xgb,daily_sign,phase1_xgb__daily_sign,10
304,-0.07170100112513611,-0.08545685138249726,0.4559834726324551,0.032406001746832294,-0.474855635278407,4.048383893329862e-05,0.506578947368421,1.0,0.8980263157894737,273.0,137,BTC,phase5_concat_xgb,daily_sign,phase5_concat_xgb__daily_sign,10
304,-0.08514432114329129,-0.10133530568295457,0.4555453154676764,-0.006253064468891637,-0.2535087947375918,-7.804258153756054e-06,0.4868421052631579,1.0,0.7072368421052632,215.0,108,BTC,phase0_xgb,cost_aware,phase0_xgb__cost_aware,10
